,brand,rating,review
0,GEPA Kaffee,5,"Wenn ich Bohnenkaffee trinke (auf Arbeit trinke ich wegen der Kapselmaschine nur Kaffee aus Granulat), dann in jedem Fall GEPA-Kaffee. Schon in Studium und mit Bafög war es mit der höhere Preis (verglichen mit den herkömmlichen Kaffees) immer Wert, GEPA zu kaufen. Zum einen, weil ich ihn mit gutem Gewissen trinken kann, da er aus fairem Handel stammt und seine Herstellung nicht auf Ausbeutung basiert. Zum anderen, weil er auch bei Blindverkostungen immer deutlich besser schmeckt, als andere Kaffeesorten. Am liebsten trinke ich stärkeren Kaffee (z.B. „Kolumbien Pur“), aber auch die milderen Sorten hatte ich schon und war mit dem Geschmack sehr zufrieden. Mein Partner kauft seit wir uns kennen auch nur noch GEPA-Kaffees, da ich ihn überzeugen konnte."
1,GEPA Kaffee,5,"Für mich ist dieser Kaffee ideal. Die Grundvoraussetzungen Bio und Fair trade sind bei GEPA immer gegeben. Aber hier überzeugt auch das milde feine Aroma mit diesem besonderen Kick der Kakaonote. Der Guatemala Pur ist sehr bekömmlich. Gerade Personen mit einem empfindlichen, leicht übersäuerten Magen können diesen Kaffee bedenkenlos konsumieren. Wenn er dann noch schonend aufgegossen und nicht als Filterkaffee in der Maschine zubereitet wird, ist die Kaffeewelt (für mich) in Ordnung. Daher 5 Sterne für diesen Kaffee."
2,GEPA Kaffee,5,"Ich persönlich bin insbesondere von dem Geschmack der Gepa Kaffee-Sorten angetan. Man schmeckt die ausgezeichnete Qualität. Die Kaffeesorten halten, was sie versprechen und sind äußerst rund im Geschmack. Als Nebenstudiums-Barista habe ich ja schon viele Kaffeemarken und Sorten durchprobiert, konventionell, fair oder Bio. Und GEPA-Kaffee ist meiner Meinung nach eine große Nummer, kann ich jedem nur empfehlen!!! Für diese Qualität ist auch der Preis absolut in Ordnung."
3,GEPA Kaffee,5,"ganz abgesehen vom geschmack legt gepa inzwischen das fair trade label ab,weil dr prozentsatz der fair gehandelten inhaltsstoffe ihnen zu niedig ist.sehr löblich finde ich.das ist im zeitalter der verwässerten labels und ansprüche sehr zu begrüssen.mir persönlich hat der gepa kaffee vor allem der espresso bohne immer besonders gut geschmeckt."
4,GEPA Kaffee,5,"Seit Jahren kaufe ich am liebsten den Kaffee und Espresso von der Gepa. Der Geschmack ist gut und die Projekte, die damit unterstützt werden, sorgen nicht nur für einen fairen Lohn der Kaffeebauern, sondern verbessern auch noch nachhaltig ihre Lebensbedingungen. Besser kann kaum in den Tag gestartet werden!"
5,GEPA Kaffee,5,"Ca. 10 Jahre lang war für mich dieser – rechts – Espresso der absolute FAVORIT… dabei trank ich bis Mitte 2004 überhaupt kein Kaffee. Dann aber mit der BIALETTI und dem Gepa war es wunderbar! Mild, rund, perfekt. Die beiden links kenne ich nicht… bis ich den Mount Hagen ESPRESSO entdeckte/entdecken musste, denn entweder hat sich mein Geschmack geändert oder der vom Gepa Espresso 😉"
6,GEPA Kaffee,5,"Heute habe ich meine Kaffeegewohnheiten etwas verändert. Ich habe mir Filtertüten, einen Filter-Tassen-Aufsatz besorgt und stand dann vor dem Regal mit gefühlt 80 verschiedenen Kaffeesorten. Ich habe mit für GEPA-Kaffee entschieden. Habe ihn frisch aufgebrüht und habe mich in den Geschmack verliebt. Der Kaffee duftet und schmeckt einfach herrlich. Ich bin absolut begeistert und durch den Kauf erfülle ich einen guten Zweck. Der Preis hat mich kein wenig abgeschreckt, da ich weiß wofür ich das Geld bezahle."
7,GEPA Kaffee,5,"Mir schmeckt der GEPA Espresso super. Ich trinke ihn bewusst und mit Genuss. Mit der Bialetti auf dem Herd oder auch in einer „Runterdrück- Kanne“, beides im ist Ergebnis super. Und wenn die Kaffee- Bauern auch noch etwas davon haben……Daher 5 Sterne für diesen Kaffee! "
8,GEPA Kaffee,5,"Dieser Gepa Kaffee ist sehr bekömmlich und schmeckt sehr lecker. Nach mehreren Vergleichen mit anderen milden Kaffeesorten von unterschiedlichen Hers tellern kam ich zu dem Entschluss, dass ich diesen vor allen bevorzuge. Preislich liegt dieser Kaffee eher an der oberen Grenze was aufgrund der fairen Herkunft gerechtfertigt ist. Sehr empfehlenswert für jeden der gerne säurearmen bzw. leichten Kaffee trinkt. "
9,GEPA Kaffee,5,"Aufgrund langfristiger Medikamenteneinnahme wurde meine Magenschleimhaut stark angegriffen. Mein infolgedessen überempfindlicher Magen reagierte auf einmal permanent extrem mit heftigen krampfartigen Schmerzen nach dem Konsum bestimmter Lebensmittel, insbesondere schon nach dem Trinken von nur einer halben Tasse Kaffee. Von Genuss konnte keine Rede mehr sein. Nachdem ich viele Marken ausprobiert hatte und es jedesmal wieder bereuen musste, habe ich für lange Zeit ganz darauf verzichtet. Aber als ich vor kurzem verschiedene Bewertungen und Empfehlungen gelesen hatte, habe ich erstmals den GEPA Bio Cafe Esperanza (mild-aromatisch) getestet. Ich war skeptisch, da ich mir nicht mehr vorstellen konnte, dass es für mich jemals wieder Kaffeegenuss ohne Reue geben könnte. Aber das gilt hier sogar in doppeltem Sinne, also im Hinblick auf mein Wohlbefinden und bezüglich der Nachhaltigkeit. Dieser Kaffee hat mich in allen Punkten überzeugt. Fairer Handel, kontrolliert ökologischer Anbau, sehr gute Verträglichkeit und ein Aroma ganz nach meinem Geschmack. Was will man mehr! Ich bin jedenfalls vollends zufrieden und werde wahrscheinlich in Zukunft keine Experimente mehr wagen, sondern diesem Kaffee die Treue halten."
